number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,False,False,29,3,26,OPEN,1740297621000,53.353331,-6.249319
85,dublin,ROTHE ABBEY,Rothe Abbey,False,False,35,30,5,OPEN,1740297141000,53.338776,-6.30395
107,dublin,CHARLEVILLE ROAD,Charleville Road,False,False,40,40,0,OPEN,1740297592000,53.359157,-6.281866
33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,False,False,23,9,14,OPEN,1740297559000,53.349013,-6.260311
44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,False,False,30,30,0,OPEN,1740297643000,53.358437,-6.260641
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,False,False,40,37,3,OPEN,1740297672000,53.335211,-6.2509
57,dublin,GRATTAN STREET,Grattan Street,False,False,23,17,6,OPEN,1740297670000,53.339629,-6.243778
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),False,False,40,29,11,OPEN,1740297668000,53.341359,-6.292951
41,dublin,HARCOURT TERRACE,Harcourt Terrace,False,False,20,15,5,OPEN,1740297668000,53.332763,-6.257942
3,dublin,BOLTON STREET,Bolton Street,False,False,20,4,16,OPEN,1740297320000,53.351182,-6.269859
40,dublin,JERVIS STREET,Jervis Street,False,False,21,0,21,OPEN,1740297169000,53.3483,-6.266651
29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,False,False,29,4,25,OPEN,1740297661000,53.346057,-6.268001
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),False,False,40,30,10,OPEN,1740297601000,53.354663,-6.278681
28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,False,False,30,28,2,OPEN,1740297205000,53.356299,-6.258586
39,dublin,WILTON TERRACE,Wilton Terrace,False,False,20,13,7,OPEN,1740297610000,53.332383,-6.252717
83,dublin,EMMET ROAD,Emmet Road,False,False,40,13,27,OPEN,1740297601000,53.340714,-6.308191
92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),False,False,40,0,40,OPEN,1740297650000,53.347802,-6.292432
21,dublin,LEINSTER STREET SOUTH,Leinster Street South,False,False,30,6,24,OPEN,1740297174000,53.34218,-6.254485
88,dublin,BLACKHALL PLACE,Blackhall Place,False,False,30,2,28,OPEN,1740297254000,53.3488,-6.281637
42,dublin,SMITHFIELD NORTH,Smithfield North,False,False,30,3,27,OPEN,1740297649000,53.349562,-6.278198
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,False,False,20,19,1,OPEN,1740297863000,53.3537415547453,-6.26530144781526
54,dublin,CLONMEL STREET,Clonmel Street,False,False,33,20,13,OPEN,1740297689000,53.336021,-6.26298
108,dublin,AVONDALE ROAD,Avondale Road,False,False,35,35,0,OPEN,1740297538000,53.359405,-6.276142
20,dublin,JAMES STREET EAST,James Street East,False,False,30,28,2,OPEN,1740297717000,53.336597,-6.248109
56,dublin,MOUNT STREET LOWER,Mount Street Lower,False,False,40,35,5,OPEN,1740297425000,53.33796,-6.24153
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,False,False,20,5,15,OPEN,1740297542000,53.343368,-6.27012
18,dublin,GRANTHAM STREET,Grantham Street,False,False,30,18,12,OPEN,1740297635000,53.334123,-6.265436
32,dublin,PEARSE STREET,Pearse Street,False,False,30,12,18,OPEN,1740297607000,53.344304,-6.250427
52,dublin,YORK STREET EAST,York Street East,False,False,32,1,31,OPEN,1740297979000,53.338755,-6.262003
48,dublin,EXCISE WALK,Excise Walk,False,False,40,36,4,OPEN,1740297740000,53.347777,-6.244239
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,False,False,30,24,6,OPEN,1740297889000,53.336074,-6.252825
43,dublin,PORTOBELLO ROAD,Portobello Road,False,False,30,29,1,OPEN,1740297627000,53.330091,-6.268044
31,dublin,PARNELL STREET,Parnell Street,False,False,20,2,17,OPEN,1740297474000,53.350929,-6.265125
